time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-01T10:07:02.900Z,29.0928,76.9296,10,4.5,mb,,150,5.517,1.03,us,us2000fsyl,2018-09-21T16:25:49.040Z,"14km NW of Sonipat, India",earthquake,11.9,1.9,0.131,17,reviewed,us,us
2018-06-28T04:07:47.290Z,27.8919,84.8272,10,4.8,mb,,96,1.757,0.51,us,us2000fpul,2018-09-21T16:25:47.040Z,"45km ENE of Bharatpur, Nepal",earthquake,7.6,1.9,0.048,131,reviewed,us,us
2018-06-27T13:02:31.370Z,19.8314,96.1403,10,4.7,mb,,190,1.254,1.05,us,us1000f3az,2018-09-21T16:25:55.040Z,"9km N of Nay Pyi Taw, Burma",earthquake,7.5,2,0.142,15,reviewed,us,us
2018-06-26T00:02:16.460Z,22.2092,95.0342,21.81,4.6,mb,,122,1.395,0.46,us,us1000f1rs,2018-09-21T16:25:58.040Z,"14km NW of Monywa, Burma",earthquake,7.1,5.9,0.117,22,reviewed,us,us
2018-06-21T20:29:19.560Z,7.3158,94.45,10,4.9,mb,,118,3.234,0.75,us,us1000ey0w,2018-09-19T15:15:52.040Z,"144km ESE of Mohean, India",earthquake,8,1.9,0.066,93,reviewed,us,us
2018-06-21T03:31:23.360Z,23.927,93.8741,59.13,4.6,mb,,70,0.492,0.63,us,us1000ex34,2018-09-19T15:15:51.040Z,"49km SSE of Churachandpur, India",earthquake,7,7.3,0.098,31,reviewed,us,us
2018-06-20T19:04:15.790Z,10.1921,93.0909,70.72,4.5,mb,,141,1.493,0.69,us,us1000f229,2018-09-19T15:15:59.040Z,"167km SSE of Port Blair, India",earthquake,11.3,8.5,0.079,47,reviewed,us,us
2018-06-20T07:44:26.920Z,24.6071,94.3727,67.38,4.5,mb,,95,0.381,0.79,us,us1000ew9i,2018-09-19T15:15:50.040Z,"31km ESE of Yairipok, India",earthquake,4.5,6.4,0.099,30,reviewed,us,us
2018-06-19T10:53:45.020Z,28.1275,65.9091,10,4.5,mb,,109,6.932,0.69,us,us1000eyqu,2018-09-19T15:15:54.040Z,"52km SW of Surab, Pakistan",earthquake,9.1,1.9,0.181,9,reviewed,us,us
2018-06-17T14:21:28.910Z,30.0772,70.2093,10,5.1,mww,,114,4.411,0.99,us,us1000etwv,2018-09-07T17:47:08.040Z,"41km W of Dera Ghazi Khan, Pakistan",earthquake,8.1,1.9,0.089,12,reviewed,us,us
2018-06-17T13:42:35.690Z,18.3467,96.1535,10,4.6,mb,,130,2.548,0.49,us,us1000etvs,2018-09-07T17:47:08.040Z,"33km WSW of Pyu, Burma",earthquake,9.1,1.8,0.126,19,reviewed,us,us
2018-06-17T13:21:30.230Z,18.2751,96.0703,10,5,mww,,62,2.641,0.45,us,us1000etva,2018-09-07T17:47:07.040Z,"44km WSW of Pyu, Burma",earthquake,7,1.8,0.071,19,reviewed,us,us
2018-06-14T10:15:49.470Z,32.5602,76.3615,10,4.5,mb,,154,2.814,1.24,us,us1000erd6,2018-09-07T17:47:03.040Z,"21km E of Chamba, India",earthquake,7.1,1.9,0.089,37,reviewed,us,us
2018-06-11T04:53:50.390Z,26.3263,92.6686,47.34,4.9,mb,,36,1.052,0.8,us,us1000en44,2018-09-07T17:46:59.040Z,"18km NE of Raha, India",earthquake,7.1,6.6,0.049,131,reviewed,us,us
2018-06-10T22:38:27.380Z,13.5505,92.9769,22.79,4.5,mb,,106,1.897,0.77,us,us1000emwz,2018-08-29T16:36:51.040Z,"206km N of Bamboo Flat, India",earthquake,10.4,6.2,0.115,22,reviewed,us,us
2018-06-06T17:41:24.020Z,30.7553,78.9228,10,4.5,mb,,151,5.594,1.19,us,us1000ejt1,2018-08-29T16:34:38.040Z,"45km E of Uttarkashi, India",earthquake,10.2,1.9,0.081,44,reviewed,us,us
2018-06-05T23:12:32.290Z,23.8585,94.4873,82.01,4.7,mb,,26,0.407,0.89,us,us1000ejay,2018-09-28T20:17:20.579Z,"25km NNE of Mawlaik, Burma",earthquake,6,4.9,0.046,143,reviewed,us,us
2018-06-05T16:33:54.700Z,24.5969,95.1002,110.91,4.8,mb,,25,0.815,1.02,us,us1000ej24,2018-08-29T16:34:11.040Z,"104km E of Yairipok, India",earthquake,6.6,2.2,0.04,190,reviewed,us,us
2018-06-05T01:34:36.810Z,29.6464,81.6777,10,4.7,mb,,109,8.203,0.51,us,us1000eiq5,2018-08-29T16:33:52.040Z,"64km NW of Jumla, Nepal",earthquake,8.9,1.9,0.047,140,reviewed,us,us
2018-06-02T05:46:07.210Z,27.1823,96.9851,38.89,4.9,mww,,26,3.809,0.66,us,us1000ehai,2018-08-28T16:30:09.040Z,"114km SE of Tezu, India",earthquake,7.2,5.2,0.103,9,reviewed,us,us
2018-05-31T13:42:34.820Z,28.7329,69.3073,16.64,4.7,mb,,207,5.794,0.96,us,us1000efj3,2018-08-28T16:29:16.040Z,"36km SSE of Dera Bugti, Pakistan",earthquake,8.1,6,0.056,95,reviewed,us,us
2018-05-28T19:19:42.540Z,32.9691,68.5616,39.96,4.6,mb,,114,1.618,0.96,us,us1000edil,2018-08-28T16:27:53.040Z,"14km SW of Markaz-e Wuluswali-ye Yosuf Khel, Afghanistan",earthquake,7.7,6.9,0.046,144,reviewed,us,us
2018-05-28T05:43:17.010Z,23.1945,94.6164,107.26,4.5,mb,,103,1.07,0.75,us,us1000egf2,2018-08-28T16:27:30.040Z,"52km SSE of Mawlaik, Burma",earthquake,7,8.3,0.15,13,reviewed,us,us
2018-05-28T02:00:00.470Z,9.5212,93.4269,88.88,5.2,mb,,39,2.224,0.98,us,us1000ed54,2018-08-28T16:27:27.040Z,"172km N of Mohean, India",earthquake,7.6,3.7,0.043,178,reviewed,us,us
2018-05-26T23:42:23.670Z,22.9983,94.5796,96.35,4.5,mb,,60,0.971,0.86,us,us1000ecu7,2018-08-21T21:23:53.040Z,"72km SSE of Mawlaik, Burma",earthquake,4.2,7.2,0.099,30,reviewed,us,us
2018-05-25T17:41:54.090Z,10.8902,93.6517,140.2,4.7,mb,,103,1.171,0.86,us,us1000ec8d,2018-08-21T21:23:52.040Z,"130km SE of Port Blair, India",earthquake,9.6,7.4,0.068,65,reviewed,us,us
2018-05-22T11:46:55.690Z,12.2515,95.9839,10,4.7,mb,,162,5.085,0.82,us,us1000ec0m,2018-08-21T21:23:50.040Z,"285km W of Myeik, Burma",earthquake,10.9,1.9,0.088,39,reviewed,us,us
2018-05-21T10:51:02.750Z,31.7412,78.4799,10,4.5,mb,,104,4.788,0.82,us,us1000e99b,2018-08-21T21:23:47.040Z,"21km WSW of Sibgyi, China",earthquake,5.2,1.8,0.097,31,reviewed,us,us
